Dates,S_Sup,S_Use
2011/4/15,3495,3355
2011/4/18,3495,3355
2011/4/19,3495,3355
2011/4/20,3495,3355
2011/4/21,3495,3355
2011/4/22,3495,3355
2011/4/25,3495,3355
2011/4/26,3495,3355
2011/4/27,3495,3355
2011/4/28,3495,3355
2011/4/29,3495,3355
2011/5/2,3495,3355
2011/5/3,3495,3355
2011/5/4,3495,3355
2011/5/5,3495,3355
2011/5/6,3495,3355
2011/5/9,3495,3355
2011/5/10,3495,3355
2011/5/11,3495,3355
2011/5/12,3495,3355
2011/5/13,3495,3355
2011/5/16,3495,3355
2011/5/17,3495,3355
2011/5/18,3495,3355
2011/5/19,3495,3355
2011/5/20,3495,3355
2011/5/23,3495,3355
2011/5/24,3495,3355
2011/5/25,3495,3355
2011/5/26,3495,3355
2011/5/27,3495,3355
2011/5/30,3495,3355
2011/5/31,3470,3310
2011/6/1,3470,3310
2011/6/2,3470,3310
2011/6/3,3470,3310
2011/6/6,3470,3310
2011/6/7,3470,3310
2011/6/8,3470,3310
2011/6/9,3470,3310
2011/6/10,3470,3310
2011/6/13,3470,3310
2011/6/14,3470,3310
2011/6/15,3470,3310
2011/6/16,3470,3310
2011/6/17,3470,3310
2011/6/20,3470,3310
2011/6/21,3470,3310
2011/6/22,3470,3310
2011/6/23,3470,3310
2011/6/24,3470,3310
2011/6/27,3470,3310
2011/6/28,3470,3310
2011/6/29,3470,3310
2011/6/30,3480,3290
2011/7/1,3480,3290
2011/7/4,3480,3290
2011/7/5,3480,3290
2011/7/6,3480,3290
2011/7/7,3480,3290
2011/7/8,3480,3290
2011/7/11,3480,3290
2011/7/12,3480,3290
2011/7/13,3480,3290
2011/7/14,3480,3290
2011/7/15,3480,3290
2011/7/18,3480,3290
2011/7/19,3480,3290
2011/7/20,3480,3290
2011/7/21,3480,3290
2011/7/22,3480,3290
2011/7/25,3480,3290
2011/7/26,3480,3290
2011/7/27,3480,3290
2011/7/28,3480,3290
2011/7/29,3480,3290
2011/8/1,3440,3264
2011/8/2,3440,3264
2011/8/3,3440,3264
2011/8/4,3440,3264
2011/8/5,3440,3264
2011/8/8,3440,3264
2011/8/9,3440,3264
2011/8/10,3440,3264
2011/8/11,3440,3264
2011/8/12,3440,3264
2011/8/15,3440,3264
2011/8/16,3440,3264
2011/8/17,3440,3264
2011/8/18,3440,3264
2011/8/19,3440,3264
2011/8/22,3440,3264
2011/8/23,3440,3264
2011/8/24,3440,3264
2011/8/25,3440,3264
2011/8/26,3440,3264
2011/8/29,3440,3264
2011/8/30,3440,3264
2011/8/31,3301,3146
2011/9/1,3301,3146
2011/9/2,3301,3146
2011/9/5,3301,3146
2011/9/6,3301,3146
2011/9/7,3301,3146
2011/9/8,3301,3146
2011/9/9,3301,3146
2011/9/12,3301,3146
2011/9/13,3301,3146
2011/9/14,3301,3146
2011/9/15,3301,3146
2011/9/16,3301,3146
2011/9/19,3301,3146
2011/9/20,3301,3146
2011/9/21,3301,3146
2011/9/22,3301,3146
2011/9/23,3301,3146
2011/9/26,3301,3146
2011/9/27,3301,3146
2011/9/28,3301,3146
2011/9/29,3301,3146
2011/9/30,3325,3161
2011/10/3,3325,3161
2011/10/4,3325,3161
2011/10/5,3325,3161
2011/10/6,3325,3161
2011/10/7,3325,3161
2011/10/10,3325,3161
2011/10/11,3325,3161
2011/10/12,3325,3161
2011/10/13,3325,3161
2011/10/14,3325,3161
2011/10/17,3325,3161
2011/10/18,3325,3161
2011/10/19,3325,3161
2011/10/20,3325,3161
2011/10/21,3325,3161
2011/10/24,3325,3161
2011/10/25,3325,3161
2011/10/26,3325,3161
2011/10/27,3325,3161
2011/10/28,3325,3161
2011/10/31,3290,3130
2011/11/1,3290,3130
2011/11/2,3290,3130
2011/11/3,3290,3130
2011/11/4,3290,3130
2011/11/7,3290,3130
2011/11/8,3290,3130
2011/11/9,3290,3130
2011/11/10,3290,3130
2011/11/11,3290,3130
2011/11/14,3290,3130
2011/11/15,3290,3130
2011/11/16,3290,3130
2011/11/17,3290,3130
