	S 1 Comdty	C 1 Comdty	W 1 Comdty
	Last Price	Last Price	Last Price
Dates	PX_LAST	PX_LAST	PX_LAST
2018/10/9	863	364.5	515
2018/10/10	852.25	362.75	510.5
2018/10/11	858.25	369.25	508
2018/10/12	867.5	373.75	517.25
2018/10/15	891.5	378.25	525
2018/10/16	884.75	375.25	523.5
2018/10/17	885.75	374.25	517.5
2018/10/18	863.5	370.75	513
2018/10/19	856.75	367	514.75
2018/10/22	858.5	369.5	508
2018/10/23	857.5	370.25	509
2018/10/24	850.25	368.25	499.5
2018/10/25	841.75	361	487.25
2018/10/26	845	367.75	505.25
2018/10/29	839	366.75	507.25
2018/10/30	833.5	364.75	499.75
2018/10/31	839	363.25	500.5
2018/11/1	869	366.75	508
2018/11/2	875.25	371.25	508.75
2018/11/5	873	374	507.25
2018/11/6	872	373.25	512
2018/11/7	867.75	372.25	510.25
2018/11/8	867.5	373.5	507.75
2018/11/9	875.25	369.75	502
2018/11/12	871.75	371.25	519.75
2018/11/13	867.25	366.5	507.75
2018/11/14	870.5	367	503
2018/11/15	888.75	367.5	505.5
2018/11/16	892.25	364.75	506.75
2018/11/19	873.75	362.25	498.5
2018/11/20	881	361.25	500.75
2018/11/21	883	361.75	498.75
2018/11/22	883	361.75	498.75
2018/11/23	881	359	499.75
2018/11/26	862.25	356	507.5
2018/11/27	875.5	356.5	498
2018/11/28	890.5	360.5	497.5
2018/11/29	887.25	360.25	496.5
2018/11/30	894.75	366.5	515.75
2018/12/3	905.75	371.25	515.75
2018/12/4	911.75	374.25	519.25
2018/12/5	913.5	374.25	514.5
2018/12/6	909.5	372	505.25
2018/12/7	916.75	374	519.5
2018/12/10	909.75	374.25	514.75
2018/12/11	915	375	509.75
2018/12/12	920	376.25	515.25
2018/12/13	907	375.5	527.75
2018/12/14	900.5	376.75	527.75
2018/12/17	904.75	384	535.25
2018/12/18	907.75	385.5	532.75
2018/12/19	900	381.75	522.5
2018/12/20	893.5	375.25	523.5
2018/12/21	884.75	378.5	514
2018/12/24	884	377.75	516.5
2018/12/25	884	377.75	516.5
2018/12/26	870	373.25	510
2018/12/27	869	374.5	510.5
2018/12/28	882.75	375.5	511.5
2018/12/31	882.5	375	503.25
2019/1/1	882.5	375	503.25
2019/1/2	894.75	375.75	506.75
2019/1/3	900.25	379.75	513.75
2019/1/4	909.5	383	517
2019/1/7	912.25	382.25	516.75
2019/1/8	906.25	380	517.75
2019/1/9	911.5	382	520
2019/1/10	895.5	376.25	513.75
2019/1/11	899.25	378.25	519.5
2019/1/14	890.75	378.5	514.25
2019/1/15	893.25	371.25	511
2019/1/16	894.5	374	512.5
2019/1/17	907.75	380	517.75
2019/1/18	916.75	381.75	517.75
2019/1/21	916.75	381.75	517.75
2019/1/22	909.25	379	521.25
2019/1/23	915	378.75	526
2019/1/24	916	377	521.5
2019/1/25	925.25	380.25	520
2019/1/28	923.25	379.75	518.75
2019/1/29	919	377.25	513.25
2019/1/30	921	381.25	516.75
2019/1/31	915.25	376.5	516.5
2019/2/1	917.75	378.25	524.25
2019/2/4	918.5	379.25	525.75
2019/2/5	920.25	380.75	527.25
2019/2/6	921.75	380	526
2019/2/7	913.25	376.5	513.25
2019/2/8	914.5	374.25	517.25
2019/2/11	905	372.75	518.25
2019/2/12	917.5	378.25	520
2019/2/13	916.5	378.75	522.25
2019/2/14	903.5	374.75	507
2019/2/15	907.5	374.75	504.25
2019/2/18	907.5	374.75	504.25
2019/2/19	900.75	369.75	489.75
2019/2/20	902.5	370.75	480.75
2019/2/21	911	375.5	486.5
2019/2/22	910.25	375.25	486.75
2019/2/25	911.75	370.5	466.75
2019/2/26	903.75	366.25	460.25
2019/2/27	903.5	363.75	461
2019/2/28	897.5	362	452.5
2019/3/1	899.25	364	454
2019/3/4	903.25	365	446.75
2019/3/5	901.25	366	454.25
2019/3/6	889.75	362.5	440.5
2019/3/7	890.75	356	431.5
2019/3/8	883.75	354.75	432.75
2019/3/11	877.75	352.5	422.25
2019/3/12	884.75	356.5	446.25
2019/3/13	889	357.25	440.25
2019/3/14	889.5	361.5	448.25
2019/3/15	909.25	373.25	462.25
2019/3/18	905.75	371.5	456.75
2019/3/19	904	371.25	456.5
2019/3/20	906	371.5	464.75
2019/3/21	910.5	376.25	466.5
2019/3/22	903.75	378.25	466
2019/3/25	906.5	379.75	469.5
2019/3/26	900.75	377.25	469.25
2019/3/27	887.5	373.75	469.5
2019/3/28	889.5	374	464.5
2019/3/29	884.25	356.5	457.75
2019/4/1	895.5	361.75	462.75
2019/4/2	900	361.5	464
2019/4/3	898.75	362.75	471
2019/4/4	906.5	365.25	470.75
2019/4/5	899	362.5	467.75
2019/4/8	898.75	360	465.25
2019/4/9	898.75	360	459.5
2019/4/10	902	361.75	458
2019/4/11	895.25	360	460.5
2019/4/12	895.25	361	464.5
2019/4/15	898.75	362.75	459.5
2019/4/16	888	359	445
2019/4/17	879	358.25	447
2019/4/18	880.5	358.5	444.25
2019/4/19	880.5	358.5	444.25
2019/4/22	877	354.75	435.75
2019/4/23	862	351.25	438.75
2019/4/24	855.25	346.75	432.25
2019/4/25	859.25	347.5	434.75
2019/4/26	853.75	351.25	435
2019/4/29	847.5	352	426.75
2019/4/30	841.25	353.25	418.5
2019/5/1	839.5	360	425
2019/5/2	830.5	362	433.25
2019/5/3	829.5	363	428
2019/5/6	817.5	355.75	428
2019/5/7	817.75	358	430.5
2019/5/8	814.25	355.25	431.25
2019/5/9	800.25	344.5	421.75
2019/5/10	797	342.5	419
2019/5/13	791	347.5	431.25
2019/5/14	817.75	360.5	439.25
2019/5/15	835.5	369.5	448.75
2019/5/16	839.75	379	467
2019/5/17	821.75	383.25	465
